ID,"LICENSE ID","ACCOUNT NUMBER","SITE NUMBER","LEGAL NAME","DOING BUSINESS AS NAME",ADDRESS,CITY,STATE,"ZIP CODE",WARD,PRECINCT,"WARD PRECINCT","POLICE DISTRICT","LICENSE CODE","LICENSE DESCRIPTION","BUSINESS ACTIVITY ID","BUSINESS ACTIVITY","LICENSE NUMBER","APPLICATION TYPE","APPLICATION CREATED DATE","APPLICATION REQUIREMENTS COMPLETE","PAYMENT DATE","CONDITIONAL APPROVAL","LICENSE TERM START DATE","LICENSE TERM EXPIRATION DATE","LICENSE APPROVED FOR ISSUANCE","DATE ISSUED","LICENSE STATUS","LICENSE STATUS CHANGE DATE",SSA,LATITUDE,LONGITUDE,LOCATION,DI_CreateDate,DI_WorkflowFileName,APPLICATION_CREATED_DATE_CONVERTED,PAYMENT_DATE_CONVERTED,"LICENSE_TERM_START DATE_CONVERTED","LICENSE TERM EXPIRATION DATE CONVERTED","DATE ISSUED CONVERTED","LICENSE STATUS CHANGE DATE CONVERTED"
1888980-20160516,2454132,61178,3,"NORTHERN BUILDERS INC","NORTHERN BUILDERS, INC.","5060  RIVER RD 1 1","SCHILLER PARK",IL,60176,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1888980,RENEW,NULL,03/15/2016,04/06/2016,N,05/16/2016,05/15/2018,04/06/2016,04/07/2016,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2016-04-06 00:00:00","2016-05-16 00:00:00","2018-05-15 00:00:00","2016-04-07 00:00:00",NULL
79838-20000216,310105,48577,1,"NAZI ORAHA","IMPERIAL CLEANING SERVICE","26  STACY CT  1ST",GLENVIEW,IL,60025,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,79838,RENEW,NULL,06/16/2000,05/14/2010,N,02/16/2000,02/15/2001,12/22/2003,05/17/2010,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2010-05-14 00:00:00","2000-02-16 00:00:00","2001-02-15 00:00:00","2010-05-17 00:00:00",NULL
2113456-20130916,2276800,365474,1,"7 DAYS A WEEK INC.","7 DAYS A WEEK INC.","4714  MAIN ST  3C",LISLE,IL,60532,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,2113456,RENEW,NULL,07/15/2013,NULL,N,09/16/2013,09/15/2015,04/07/2016,04/07/2016,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,NULL,"2013-09-16 00:00:00","2015-09-15 00:00:00","2016-04-07 00:00:00",NULL
1121240-20130702,1121240,21818,3,"PRECISION CONTRACTING SERVICES","PRESCISION CONTRACTING SERVICES","1011 E TOUHY AVE  210","DES PLAINES",IL,60018,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1121240,C_LOC,02/06/2001,02/06/2001,02/21/2001,N,07/02/2013,02/15/2002,01/03/2003,07/02/2013,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,"2001-02-06 00:00:00","2001-02-21 00:00:00","2013-07-02 00:00:00","2002-02-15 00:00:00","2013-07-02 00:00:00",NULL
30465-20010216,1104543,31585,1,"MELVIN ARMSTRONG","DMC REFRIGERATION HEATING & AC","17935  CHAPPEL AVE  MAIN",LANSING,IL,60438,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,30465,RENEW,12/18/2000,12/19/2000,06/07/2011,N,02/16/2001,02/15/2002,12/22/2003,06/08/2011,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,"2000-12-18 00:00:00","2011-06-07 00:00:00","2001-02-16 00:00:00","2002-02-15 00:00:00","2011-06-08 00:00:00",NULL
17220-20160516,2453785,28261,1,"HOLLWAY MEYER'S INC","HOLLAWAY MEYER'S INC","950  165TH ST  1",HAMMOND,IN,46324,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,17220,RENEW,NULL,03/15/2016,04/01/2016,N,05/16/2016,05/15/2018,04/01/2016,04/04/2016,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2016-04-01 00:00:00","2016-05-16 00:00:00","2018-05-15 00:00:00","2016-04-04 00:00:00",NULL
55461-20010216,1112535,57558,1,"STERLING ELEVATOR SERVICE CO","STRERLING ELEVATOR SERVICE CO","2510 E DEMPSTER   208","DES PLAINES",IL,60016,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,55461,RENEW,12/18/2000,12/19/2000,05/18/2001,N,02/16/2001,02/15/2002,07/28/2001,06/19/2008,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,"2000-12-18 00:00:00","2001-05-18 00:00:00","2001-02-16 00:00:00","2002-02-15 00:00:00","2008-06-19 00:00:00",NULL
78446-20010216,1115264,67310,1,"360NETWORKS (USA) INC.","360NETWORKS (USA) INC.","12202  AIRPORT WAY  300",BROOMFIELD,CO,80021,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,78446,RENEW,12/18/2000,12/19/2000,04/22/2008,N,02/16/2001,02/15/2002,12/22/2003,07/30/2007,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,"2000-12-18 00:00:00","2008-04-22 00:00:00","2001-02-16 00:00:00","2002-02-15 00:00:00","2007-07-30 00:00:00",NULL
1140501-20100511,1140501,213133,1,"MICHAEL BRUCE VLASEK","MIKE VLASEK INC","7305 W 157TH ST 3RD 3B","ORLAND PARK",IL,60462,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1140501,ISSUE,04/12/2001,04/12/2001,04/12/2001,N,05/11/2010,02/15/2005,01/06/2003,05/11/2010,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,"2001-04-12 00:00:00","2001-04-12 00:00:00","2010-05-11 00:00:00","2005-02-15 00:00:00","2010-05-11 00:00:00",NULL
83699-20010216,1115778,68530,1,"URGENT HEATING & COOLING CORP.","URGENT HEATING","560  CHESTER AVE  1ST",ELGIN,IL,60120,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,83699,RENEW,12/18/2000,12/19/2000,01/31/2001,N,02/16/2001,02/15/2002,01/31/2001,06/16/2008,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,"2000-12-18 00:00:00","2001-01-31 00:00:00","2001-02-16 00:00:00","2002-02-15 00:00:00","2008-06-16 00:00:00",NULL
1140502-20100511,1140502,213133,1,"MICHAEL BRUCE VLASEK","MIKE VLASEK INC","7305 W 157TH ST 3RD 3B","ORLAND PARK",IL,60462,NULL,NULL,NULL,NULL,1011,"Home Repair",NULL,NULL,1140502,ISSUE,04/12/2001,04/12/2001,04/12/2001,N,05/11/2010,02/15/2002,09/18/2001,05/11/2010,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,"2001-04-12 00:00:00","2001-04-12 00:00:00","2010-05-11 00:00:00","2002-02-15 00:00:00","2010-05-11 00:00:00",NULL
1621057-20150316,2375471,22721,1,"GEM COMMERCIAL INC","GEM COMMERCIAL INC","1302  INDUSTRIAL DR  UNITA",ITASCA,IL,60143,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1621057,RENEW,NULL,01/16/2015,02/11/2015,N,03/16/2015,03/15/2017,02/11/2015,02/13/2015,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2015-02-11 00:00:00","2015-03-16 00:00:00","2017-03-15 00:00:00","2015-02-13 00:00:00",NULL
44918-20011116,1172795,465,2,"MILLARD MAINTENANCE SERVICE CO","STANDARD WINDOW CLEANING CO","7301 N CICERO AVE  1ST",LINCOLNWOOD,IL,60646,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,44918,RENEW,NULL,10/03/2001,07/26/2006,N,11/16/2001,11/15/2002,12/22/2003,08/16/2006,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2006-07-26 00:00:00","2001-11-16 00:00:00","2002-11-15 00:00:00","2006-08-16 00:00:00",NULL
1932-20220916,2858248,62544,18,"HYATT CORPORATION",STETSON'S,"151 E WACKER DR  PLAZA",CHICAGO,IL,60601,42,44,42-44,1,1006,"Retail Food Establishment",775,"Retail Sales of Perishable Foods",1932,RENEW,NULL,07/15/2022,08/05/2022,N,09/16/2022,09/15/2024,08/05/2022,08/08/2022,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2022-08-05 00:00:00","2022-09-16 00:00:00","2024-09-15 00:00:00","2022-08-08 00:00:00",NULL
69904-20020216,1202098,21298,2,"ILLINOIS QUALITY BUILDERS","ILL QUALITY BUILDERS","600  LOCUST   1ST F",WILMETTE,IL,60091,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,69904,RENEW,NULL,12/20/2001,02/15/2002,N,02/16/2002,02/15/2003,02/15/2002,05/11/2010,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2002-02-15 00:00:00","2002-02-16 00:00:00","2003-02-15 00:00:00","2010-05-11 00:00:00",NULL
37359-20160416,2448239,54581,1,"HAGEN DECORATORS, INC.","NORTH CENTRAL INSULATION","3204  PLEASANT ST  1ST",ALTOONA,WI,54720,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,37359,RENEW,NULL,02/15/2016,03/24/2016,N,04/16/2016,04/15/2018,03/24/2016,03/25/2016,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2016-03-24 00:00:00","2016-04-16 00:00:00","2018-04-15 00:00:00","2016-03-25 00:00:00",NULL
55014-20020216,1201283,18088,3,"AMERITECH COMMUNICATIONS INC","AMERITECH COMMUNICATIONS INC","9525 W BRYN MAWR AVE  600",ROSEMONT,IL,60018,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,55014,RENEW,NULL,12/20/2001,03/12/2002,N,02/16/2002,02/15/2003,04/30/2002,04/28/2010,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2002-03-12 00:00:00","2002-02-16 00:00:00","2003-02-15 00:00:00","2010-04-28 00:00:00",NULL
37444-20020216,1205853,33414,1,"MAESTRO GENERAL CONTRACTOR, IN","MAESTRO GENERAL CONTRACTOR, IN","411  SPRINGHILL DR  HOME",ROSELLE,IL,60172,NULL,NULL,NULL,NULL,1011,"Home Repair",NULL,NULL,37444,RENEW,NULL,12/20/2001,02/19/2002,N,02/16/2002,02/15/2003,06/11/2003,09/18/2009,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2002-02-19 00:00:00","2002-02-16 00:00:00","2003-02-15 00:00:00","2009-09-18 00:00:00",NULL
17129-20020216,1215056,85715,2,"FCI CONSTRUCTION INC","FCI CONTRUCTION, INC.","735 N YALE   A","VILLA PARK",IL,60181,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,17129,RENEW,NULL,12/20/2001,01/22/2002,N,02/16/2002,02/15/2003,01/22/2002,06/07/2006,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2002-01-22 00:00:00","2002-02-16 00:00:00","2003-02-15 00:00:00","2006-06-07 00:00:00",NULL
71647-20030216,1309915,21652,1,"GEMINI HEATING & AIR CONDITIONING INC.","GEMINI HTG & AIR CONDITIONING","8  FRANCES CT  1ST","BUFFALO GROVE",IL,60089,NULL,NULL,NULL,NULL,1011,"Home Repair",NULL,NULL,71647,RENEW,NULL,12/17/2002,03/11/2003,N,02/16/2003,02/15/2004,12/22/2003,10/03/2007,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2003-03-11 00:00:00","2003-02-16 00:00:00","2004-02-15 00:00:00","2007-10-03 00:00:00",NULL
1594885-20060216,1652038,7700,1,"WARNING CHARTER SERVICE INC","WARNING CHARTER SERVICE INC","4845 W 167TH ST  300","OAK FOREST",IL,60452,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1594885,RENEW,NULL,12/21/2005,02/23/2006,N,02/16/2006,02/15/2007,02/23/2006,06/18/2008,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2006-02-23 00:00:00","2006-02-16 00:00:00","2007-02-15 00:00:00","2008-06-18 00:00:00",NULL
37443-20030216,1313198,33414,1,"MAESTRO GENERAL CONTRACTOR, IN","MAESTRO GENERAL CONTRACTOR, IN","411  SPRINGHILL DR  HOME",ROSELLE,IL,60172,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,37443,RENEW,NULL,12/17/2002,03/31/2003,N,02/16/2003,02/15/2004,12/22/2003,09/18/2009,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2003-03-31 00:00:00","2003-02-16 00:00:00","2004-02-15 00:00:00","2009-09-18 00:00:00",NULL
2205100-20220516,2836870,50840,1,"AIDA & METANIOS ELRASSI","STATE AMUSEMENT","8468 N GROSSPOINT  1ST",SKOKIE,IL,60077,NULL,NULL,NULL,NULL,4404,"Regulated Business License",645,"Distribution, Placing, Leasing or Sales of Automatic Amusement Devices",2205100,RENEW,NULL,03/15/2022,05/10/2022,N,05/16/2022,05/15/2024,05/10/2022,05/11/2022,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-05-16 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
2617269-20220916,2857496,1611,5,"TTX COMPANY","TTX COMPANY","4016 S ASHLAND AVE",CHICAGO,IL,60609,12,19,12-19,9,1010,"Limited Business License",708,"Miscellaneous Commercial Services",2617269,RENEW,NULL,07/15/2022,08/05/2022,N,09/16/2022,09/15/2024,08/05/2022,08/08/2022,AAI,NULL,NULL,41.820284936,-87.665396822,"(41.82028493557808, -87.66539682158037)","2022-10-06 12:53:44",test,NULL,"2022-08-05 00:00:00","2022-09-16 00:00:00","2024-09-15 00:00:00","2022-08-08 00:00:00",NULL
2652692-20201217,2652692,456833,1,"JYM INVESTMENTS LLC",WINGMAN,"2321 W HOWARD ST 1ST",CHICAGO,IL,60645,49,21,49-21,24,1006,"Retail Food Establishment",781,"Sale of Food Prepared Onsite With Dining Area",2652692,ISSUE,03/01/2019,11/18/2020,11/19/2020,N,12/17/2020,01/15/2023,12/16/2020,12/17/2020,AAC,08/08/2022,NULL,42.019413271,-87.688628188,"(42.019413270594214, -87.68862818775574)","2022-10-06 12:53:44",test,"2019-03-01 00:00:00","2020-11-19 00:00:00","2020-12-17 00:00:00","2023-01-15 00:00:00","2020-12-17 00:00:00","2022-08-08 00:00:00"
2647849-20200916,2739788,64603,7,"LEOPARDO COMPANIES INC.","Leopardo Companies Inc","210 N CARPENTER ST 3RD FLOOR",CHICAGO,IL,60607,27,NULL,27-,NULL,1010,"Limited Business License",602,"Administrative Commercial Office",2647849,RENEW,NULL,07/15/2020,08/20/2020,N,09/16/2020,09/15/2022,08/20/2020,08/21/2020,AAC,08/08/2022,NULL,41.885944958,-87.653461783,"(41.88594495760403, -87.65346178255953)","2022-10-06 12:53:44",test,NULL,"2020-08-20 00:00:00","2020-09-16 00:00:00","2022-09-15 00:00:00","2020-08-21 00:00:00","2022-08-08 00:00:00"
1579838-20220616,2842924,289144,1,"1021 MONTROSE, L.L.C.",Driftwood,"1021 W MONTROSE AVE",CHICAGO,IL,60613,46,9,46-9,19,1470,Tavern,829,"Tavern - Consumption of Liquor on Premise",1579838,RENEW,NULL,04/15/2022,05/10/2022,N,06/16/2022,06/15/2024,05/10/2022,05/11/2022,AAI,NULL,34,41.961655309,-87.655649945,"(41.961655308981946, -87.65564994485091)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-06-16 00:00:00","2024-06-15 00:00:00","2022-05-11 00:00:00",NULL
2333323-20220616,2843903,390516,1,"Weiss Entities LLC","Weiss Entities LLC","104 S MICHIGAN AVE 13 1300",CHICAGO,IL,60603,42,NULL,42-,NULL,4404,"Regulated Business License",601,"Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)",2333323,RENEW,NULL,04/15/2022,05/10/2022,N,06/16/2022,06/15/2024,05/10/2022,05/11/2022,AAI,NULL,NULL,41.88067914,-87.62449086,"(41.880679139638694, -87.62449086000186)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-06-16 00:00:00","2024-06-15 00:00:00","2022-05-11 00:00:00",NULL
2027540-20220616,2841687,10726,5,"GRAHAM ENTERPRISE INC","Rock N Roll BP (GEI-157)","631-647 N LA SALLE DR",CHICAGO,IL,60654,42,46,42-46,18,1275,"Filling Station",666,"Operation of a Fuel Filling Station",2027540,RENEW,NULL,04/15/2022,05/10/2022,N,06/16/2022,06/15/2024,05/10/2022,05/11/2022,AAI,NULL,NULL,41.893251198,-87.632493012,"(41.89325119846543, -87.63249301222938)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-06-16 00:00:00","2024-06-15 00:00:00","2022-05-11 00:00:00",NULL
2009389-20200616,2726247,349503,4,"CHICAGO CUBS BASEBALL CLUB, LLC","CHICAGO CUBS","1126 W GRACE ST 1ST",CHICAGO,IL,60613,44,18,44-18,19,1003,"Commercial Garage",725,"Provide Parking Spaces For a Fee - Available and Advertised to the Public",2009389,RENEW,NULL,04/15/2020,08/07/2020,N,06/16/2020,06/15/2022,08/07/2020,05/11/2022,AAI,NULL,NULL,41.951174722,-87.658075269,"(41.951174721597646, -87.65807526932429)","2022-10-06 12:53:44",test,NULL,"2020-08-07 00:00:00","2020-06-16 00:00:00","2022-06-15 00:00:00","2022-05-11 00:00:00",NULL
2780650-20220516,2839285,424430,3,"MEHRAB MANAGEMENT, INC.","MEHRAB RESTAURANT","2437 W DEVON AVE",CHICAGO,IL,60659,50,NULL,50-,NULL,1006,"Retail Food Establishment",781,"Sale of Food Prepared Onsite With Dining Area",2780650,RENEW,NULL,03/15/2022,05/10/2022,N,05/16/2022,05/15/2024,05/10/2022,05/11/2022,AAI,NULL,43,41.997597404,-87.691331516,"(41.99759740363999, -87.6913315163539)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-05-16 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
1899783-20090316,1953094,330192,1,"ELIAS A. KANELLOPOULOS","RITZ CLEANERS","200 E DELAWARE PL 1",CHICAGO,IL,60611,2,13,2-13,18,1010,"Limited Business License",NULL,NULL,1899783,RENEW,NULL,01/15/2009,02/20/2009,N,03/16/2009,03/15/2011,02/20/2009,02/23/2009,AAI,NULL,NULL,41.899354739,-87.621791302,"(41.89935473944382, -87.621791301926)","2022-10-06 12:53:44",test,NULL,"2009-02-20 00:00:00","2009-03-16 00:00:00","2011-03-15 00:00:00","2009-02-23 00:00:00",NULL
2846132-20220511,2846132,485647,1,"Silverwolf Productions LLC","Silverwolf Productions LLC","2673 N GREENVIEW AVE  UNIT H",CHICAGO,IL,60614,32,NULL,32-,NULL,4404,"Regulated Business License","665 | 667 | 702 | 719","Freelance Writer (Home Based Business) | Graphic Design (Home Based Business) | Marketing / Advertising / Public Relations (Home Based Business) | Professional Consulting (Home Based Business)",2846132,ISSUE,05/10/2022,05/10/2022,05/10/2022,N,05/11/2022,05/15/2024,05/10/2022,05/11/2022,AAI,NULL,NULL,41.930322481,-87.665386892,"(41.93032248132474, -87.66538689175445)","2022-10-06 12:53:44",test,"2022-05-10 00:00:00","2022-05-10 00:00:00","2022-05-11 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
2845828-20220511,2845828,485450,1,"LOS ALTOS DE LA SIERRA LLC","LOS ALTOS DE LA SIERRA","6043 W ADDISON ST 1 B",CHICAGO,IL,60634,36,NULL,36-,NULL,1006,"Retail Food Establishment",735,"Preparation of Food and Dining on Premise With Seating",2845828,ISSUE,05/04/2022,05/04/2022,05/04/2022,N,05/11/2022,05/15/2024,05/10/2022,05/11/2022,AAI,NULL,NULL,41.945644782,-87.778210264,"(41.945644781746616, -87.778210263651)","2022-10-06 12:53:44",test,"2022-05-04 00:00:00","2022-05-04 00:00:00","2022-05-11 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
2206588-20201116,2751202,281408,3,"HTH INCORPORATED","INSIGHT STUDIOS","1062 N MILWAUKEE AVE 1ST",CHICAGO,IL,60642,2,56,2-56,12,4404,"Regulated Business License",143,"Engage in Body Piercing",2206588,RENEW,NULL,09/15/2020,10/02/2020,N,11/16/2020,11/15/2022,10/02/2020,05/11/2022,AAI,NULL,29,41.901102965,-87.663198449,"(41.90110296450634, -87.66319844892888)","2022-10-06 12:53:44",test,NULL,"2020-10-02 00:00:00","2020-11-16 00:00:00","2022-11-15 00:00:00","2022-05-11 00:00:00",NULL
